result_code,game_name,table_code,result_time,outcome_description
RES00089,Game_6,TBL003,2024-11-15 13:30:51,Agree lead beautiful already everyone feeling professor blood form attorney great.
RES00090,Game_5,TBL016,2024-08-04 15:29:40,Eight report beyond stage according base.
RES00091,Game_5,TBL018,2024-08-17 20:50:11,Push involve dog fear information order simple.
RES00092,Game_3,TBL019,2024-08-13 06:42:58,Letter ready us you enough usually describe.
RES00093,Game_6,TBL016,2024-11-06 20:01:51,Floor enough east discussion allow show people rise own letter money special.
RES00094,Game_1,TBL014,2024-12-22 06:48:57,Fire create plant successful worker air nice alone.
RES00095,Game_6,TBL014,2025-05-28 21:59:45,Reach fill a decide create system take low since color talk.
RES00096,Game_7,TBL001,2025-01-21 14:10:09,Wrong pressure price training suggest heart another military.
RES00097,Game_6,TBL003,2025-05-03 22:49:29,Level prepare space nation too example.
RES00098,Game_7,TBL019,2025-01-20 15:35:49,Hit special those she to some so improve.
RES00099,Game_2,,2024-11-01 13:58:12,Produce interview section party write play avoid bag sense mention.
RES00100,Game_1,TBL014,2024-06-19 04:02:05,Mother provide better grow among nothing national maintain threat.
RES00101,Game_1,,2024-06-19 04:02:05,Mother provide better grow among nothing national maintain threat.
